CoReg;Year;Series;Value;Footnotes;Source
Kazakhstan;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-4248;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2000;Changes in stocks (petajoules);-12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2005;Changes in stocks (petajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2010;Changes in stocks (petajoules);88;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2015;Changes in stocks (petajoules);21;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2016;Changes in stocks (petajoules);13;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2017;Changes in stocks (petajoules);45;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2018;Changes in stocks (petajoules);28;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;1995;Total supply (petajoules);2185;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2000;Total supply (petajoules);1551;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2005;Total supply (petajoules);2352;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2010;Total supply (petajoules);3363;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2015;Total supply (petajoules);3018;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2016;Total supply (petajoules);3203;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2017;Total supply (petajoules);3353;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2018;Total supply (petajoules);3103;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;1995;Supply per capita (gigajoules);137;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2000;Supply per capita (gigajoules);104;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2005;Supply per capita (gigajoules);155;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2010;Supply per capita (gigajoules);207;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2015;Supply per capita (gigajoules);172;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2016;Supply per capita (gigajoules);180;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2017;Supply per capita (gigajoules);185;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kazakhstan;2018;Supply per capita (gigajoules);169;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;1995;Primary energy production (petajoules);420;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2000;Primary energy production (petajoules);487;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2005;Primary energy production (petajoules);580;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2010;Primary energy production (petajoules);650;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2015;Primary energy production (petajoules);761;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2016;Primary energy production (petajoules);736;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2017;Primary energy production (petajoules);738;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2018;Primary energy production (petajoules);754;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;1995;Net imports [Imports - Exports - Bunkers] (petajoules);98;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2000;Net imports [Imports - Exports - Bunkers] (petajoules);141;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2005;Net imports [Imports - Exports - Bunkers] (petajoules);109;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2010;Net imports [Imports - Exports - Bunkers] (petajoules);137;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2015;Net imports [Imports - Exports - Bunkers] (petajoules);189;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2016;Net imports [Imports - Exports - Bunkers] (petajoules);202;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2017;Net imports [Imports - Exports - Bunkers] (petajoules);194;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2018;Net imports [Imports - Exports - Bunkers] (petajoules);219;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2005;Changes in stocks (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2010;Changes in stocks (petajoules);-5;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2015;Changes in stocks (petajoules);-4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2016;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2017;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;1995;Total supply (petajoules);518;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2000;Total supply (petajoules);627;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2005;Total supply (petajoules);686;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2010;Total supply (petajoules);793;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2015;Total supply (petajoules);953;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2016;Total supply (petajoules);938;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2017;Total supply (petajoules);932;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2018;Total supply (petajoules);972;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;1995;Supply per capita (gigajoules);19;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2000;Supply per capita (gigajoules);20;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2005;Supply per capita (gigajoules);19;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2010;Supply per capita (gigajoules);19;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2015;Supply per capita (gigajoules);20;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2016;Supply per capita (gigajoules);19;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2017;Supply per capita (gigajoules);19;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kenya;2018;Supply per capita (gigajoules);19;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;1995;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2000;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2005;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2010;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2015;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2016;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2017;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2018;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;1995;Net imports [Imports - Exports - Bunkers] (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2000;Net imports [Imports - Exports - Bunkers] (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2005;Net imports [Imports - Exports - Bunkers] (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2010;Net imports [Imports - Exports - Bunkers] (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2015;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2016;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2017;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2018;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;1995;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2000;Total supply (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2005;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2010;Total supply (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2015;Total supply (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2016;Total supply (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2017;Total supply (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2018;Total supply (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;1995;Supply per capita (gigajoules);11;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2000;Supply per capita (gigajoules);11;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2005;Supply per capita (gigajoules);14;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2010;Supply per capita (gigajoules);13;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2015;Supply per capita (gigajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2016;Supply per capita (gigajoules);12;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2017;Supply per capita (gigajoules);14;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kiribati;2018;Supply per capita (gigajoules);14;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2000;Primary energy production (petajoules);46;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2005;Primary energy production (petajoules);59;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2010;Primary energy production (petajoules);78;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2015;Primary energy production (petajoules);76;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2016;Primary energy production (petajoules);84;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2017;Primary energy production (petajoules);75;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2018;Primary energy production (petajoules);76;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2000;Net imports [Imports - Exports - Bunkers] (petajoules);17;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2005;Net imports [Imports - Exports - Bunkers] (petajoules);23;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2010;Net imports [Imports - Exports - Bunkers] (petajoules);25;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2015;Net imports [Imports - Exports - Bunkers] (petajoules);29;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2016;Net imports [Imports - Exports - Bunkers] (petajoules);27;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2017;Net imports [Imports - Exports - Bunkers] (petajoules);33;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2018;Net imports [Imports - Exports - Bunkers] (petajoules);32;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2000;Changes in stocks (petajoules);-1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2005;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2010;Changes in stocks (petajoules);-2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2015;Changes in stocks (petajoules);-1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2016;Changes in stocks (petajoules);-2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2017;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2018;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2000;Total supply (petajoules);65;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2005;Total supply (petajoules);82;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2010;Total supply (petajoules);105;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2015;Total supply (petajoules);106;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2016;Total supply (petajoules);113;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2017;Total supply (petajoules);108;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2018;Total supply (petajoules);109;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2000;Supply per capita (gigajoules);38;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2005;Supply per capita (gigajoules);48;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2010;Supply per capita (gigajoules);59;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2015;Supply per capita (gigajoules);59;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2016;Supply per capita (gigajoules);64;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2017;Supply per capita (gigajoules);60;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kosovo;2018;Supply per capita (gigajoules);60;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;1995;Primary energy production (petajoules);4802;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2000;Primary energy production (petajoules);4748;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2005;Primary energy production (petajoules);6080;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2010;Primary energy production (petajoules);5557;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2015;Primary energy production (petajoules);7011;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2016;Primary energy production (petajoules);7278;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2017;Primary energy production (petajoules);6772;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2018;Primary energy production (petajoules);6870;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-3968;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-3941;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-4915;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-4229;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2015;Net imports [Imports - Exports - Bunkers] (petajoules);-5696;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-5863;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-5444;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-5540;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;1995;Changes in stocks (petajoules);-1;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2000;Changes in stocks (petajoules);-17;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2005;Changes in stocks (petajoules);31;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2010;Changes in stocks (petajoules);-22;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2015;Changes in stocks (petajoules);-75;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2016;Changes in stocks (petajoules);-108;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2017;Changes in stocks (petajoules);-127;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2018;Changes in stocks (petajoules);-130;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;1995;Total supply (petajoules);835;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2000;Total supply (petajoules);824;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2005;Total supply (petajoules);1133;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2010;Total supply (petajoules);1350;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2015;Total supply (petajoules);1389;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2016;Total supply (petajoules);1522;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2017;Total supply (petajoules);1455;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2018;Total supply (petajoules);1460;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;1995;Supply per capita (gigajoules);513;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2000;Supply per capita (gigajoules);424;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2005;Supply per capita (gigajoules);500;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2010;Supply per capita (gigajoules);451;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2015;Supply per capita (gigajoules);362;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2016;Supply per capita (gigajoules);385;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2017;Supply per capita (gigajoules);359;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kuwait;2018;Supply per capita (gigajoules);353;The data for crude oil production include 50 per cent of the output of the Neutral Zone.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;1995;Primary energy production (petajoules);53;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2000;Primary energy production (petajoules);60;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2005;Primary energy production (petajoules);61;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2010;Primary energy production (petajoules);53;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2015;Primary energy production (petajoules);75;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2016;Primary energy production (petajoules);77;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2017;Primary energy production (petajoules);88;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2018;Primary energy production (petajoules);97;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;1995;Net imports [Imports - Exports - Bunkers] (petajoules);51;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2000;Net imports [Imports - Exports - Bunkers] (petajoules);38;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2005;Net imports [Imports - Exports - Bunkers] (petajoules);53;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2010;Net imports [Imports - Exports - Bunkers] (petajoules);63;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2015;Net imports [Imports - Exports - Bunkers] (petajoules);103;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2016;Net imports [Imports - Exports - Bunkers] (petajoules);81;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2017;Net imports [Imports - Exports - Bunkers] (petajoules);79;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2018;Net imports [Imports - Exports - Bunkers] (petajoules);93;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;1995;Changes in stocks (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2000;Changes in stocks (petajoules);-2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2005;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Kyrgyzstan;2010;Changes in stocks (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
